"annotation_id","annotator","created_at","id","img","kp-1","lead_time","updated_at"
7487,"3","2023-12-19T03:16:54.718328Z",10440,"/data/upload/54/d1887760-CAM04_20231114_151428595.jpg","[{""x"":0.8866082671001733,""y"":54.22310601862761,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":23.93842321170468,""y"":54.22310601862761,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":10.860951271977124,""y"":47.05635585956788,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",98.802,"2023-12-19T03:16:54.718344Z"
7488,"3","2023-12-19T03:17:21.113551Z",10441,"/data/upload/54/f8c66340-CAM04_20231114_151428789.jpg","[{""x"":7.5915832870452356,""y"":54.051460874637684,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":30.865050298424784,""y"":54.34699696367108,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":16.125187857884406,""y"":47.549666915903074,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",18.225,"2023-12-19T03:17:21.113567Z"
7489,"3","2023-12-19T03:17:32.953837Z",10442,"/data/upload/54/b854bf35-CAM04_20231114_151429006.jpg","[{""x"":8.534687018948887,""y"":54.17249647527533,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":32.05711709556412,""y"":54.394537113166685,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":17.61059809275795,""y"":47.289236700643386,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.105,"2023-12-19T03:17:32.953852Z"
7490,"3","2023-12-19T03:17:48.052751Z",10443,"/data/upload/54/28afad91-CAM04_20231114_151429208.jpg","[{""x"":9.629052127431489,""y"":54.247043192527656,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":32.801768199367835,""y"":54.38137777845192,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":19.50264419286524,""y"":47.53031389631423,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",10.105,"2023-12-19T03:17:48.052767Z"
7491,"3","2023-12-19T03:18:04.635780Z",10444,"/data/upload/54/d68ca10a-CAM04_20231114_151429543.jpg","[{""x"":10.276595823206554,""y"":54.16437661012712,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":33.3989364254213,""y"":54.36587848901351,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":18.53817285754908,""y"":46.775974384292326,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",10.245,"2023-12-19T03:18:04.635797Z"
7492,"3","2023-12-19T03:18:18.405991Z",10445,"/data/upload/54/0d398c36-CAM04_20231114_151429888.jpg","[{""x"":10.953131845670429,""y"":54.19542399947574,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":34.579227145101186,""y"":54.531260464286426,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":20.725972971660976,""y"":47.47869470326231,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.276,"2023-12-19T03:18:18.406006Z"
7493,"3","2023-12-19T03:18:32.916703Z",10446,"/data/upload/54/ffe0df52-CAM04_20231114_151430109.jpg","[{""x"":11.636733505689774,""y"":54.1869395277797,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":34.85982504734772,""y"":54.52277599259037,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.359199161958724,""y"":47.67171211045267,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",9.6,"2023-12-19T03:18:32.916717Z"
7494,"3","2023-12-19T06:27:25.654769Z",10447,"/data/upload/54/544e2e99-CAM04_20231114_151430363.jpg","[{""x"":11.728325268819956,""y"":54.244974640074076,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.20912272583055,""y"":54.5780355969111,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":19.638522993699414,""y"":46.917633589659424,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",25.95,"2023-12-19T06:27:25.654785Z"
7495,"3","2023-12-19T06:27:44.144035Z",10448,"/data/upload/54/bba646cb-CAM04_20231114_151430556.jpg","[{""x"":12.281622783365473,""y"":54.30097366103487,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.554257142352924,""y"":54.52301429892622,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":19.5673312141755,""y"":47.251183407984406,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",13.058,"2023-12-19T06:27:44.144060Z"
7496,"3","2023-12-19T06:27:56.396668Z",10449,"/data/upload/54/61dc293c-CAM04_20231114_151430791.jpg","[{""x"":12.341322276047343,""y"":54.42519629045387,""width"":0.1963350785340314,""keypointlabels"":[""rear_tire""],""original_width"":840,""original_height"":630},{""x"":35.42850223861418,""y"":54.627051415809646,""width"":0.1963350785340314,""keypointlabels"":[""front_tire""],""original_width"":840,""original_height"":630},{""x"":21.273411573040413,""y"":47.61258580969645,""width"":0.1963350785340314,""keypointlabels"":[""body""],""original_width"":840,""original_height"":630}]",8.672,"2023-12-19T06:27:56.396683Z"
